Date,SO2,CO,O3,NO2,PM10 (cap),PM2.5,temp,rain,ws,wd,BLH,Cr,Ni,Zn,As,Pb,Mn
2019-01-01 09,0.002,0.7,0.024,0.006,24,17,-0.7,0,2.8,340,442.80884,0.62,0.56,32.62,1.34,12.83,7.61
2019-01-01 10,0.002,0.7,0.025,0.006,23,15,0.1,0,4.9,340,446.84106,0.88,0.61,31.74,1.38,15.9,10.09
2019-01-01 11,0.002,0.6,0.027,0.005,18,16,1.8,0,3.7,340,490.64233,0.64,0.48,24.55,0.91,12.12,8.31
2019-01-01 12,0.002,0.6,0.028,0.005,14,8,1.6,0,3,360,615.68823,0.8,0.39,16.43,0.68,6.04,5.28
2019-01-01 13,0.002,0.6,0.029,0.005,13,6,2.7,0,5,320,833.9092,0.7,0.17,13.87,0.38,5.04,3.94
2019-01-01 14,0.002,0.6,0.03,0.004,10,5,3.4,0,3.4,340,1035.3506,0.82,0.19,11.95,0.31,4.64,3.26
2019-01-01 15,0.002,0.6,0.03,0.004,10,10,3.6,0,4.3,320,1138.1472,0.44,0.07,12.67,0.71,3.95,3.12
2019-01-01 16,0.002,0.6,0.03,0.005,12,11,3.4,0,3.3,320,1172.2734,1.08,0.1,11.71,0.5,4.68,2.6
2019-01-01 17,0.002,0.6,0.029,0.005,16,10,2.2,0,3.3,340,1188.5503,0.73,0.15,12.09,0.82,3.95,2.68
2019-01-01 18,0.002,0.6,0.028,0.005,12,15,1.3,0,1.8,340,1156.2097,0.72,0.24,15.8,0.83,6.12,3.32
2019-01-01 19,0.002,0.7,0.027,0.005,15,18,0.5,0,1.4,290,1155.4114,0.88,0.53,20.06,0.98,7.57,4.32
2019-01-01 20,0.002,0.7,0.025,0.006,16,23,-1,0,1.8,360,1148.981,0.84,0.34,22.98,1.07,9.52,4.89
2019-01-01 21,0.002,0.7,0.025,0.006,23,23,-0.3,0,2.4,320,1049.9753,0.9,0.4,25.77,1.57,10.89,5.28
2019-01-01 22,0.002,0.7,0.027,0.005,27,23,-0.7,0,2.6,320,924.56616,1.19,0.33,25.75,1.18,9.49,5.08
2019-01-01 23,0.002,0.7,0.027,0.005,22,17,-0.9,0,3.3,290,833.2622,0.89,0.26,22.87,1.19,8.44,4.59
2019-01-02 00,0.002,0.7,0.025,0.007,18,16,-0.9,0,4.6,290,759.97705,1.04,0.21,19.53,0.93,6.43,3.71
2019-01-02 01,0.002,0.6,0.027,0.005,18,19,-1.4,0,3.4,320,694.09375,1.32,0.16,17.03,0.68,5.54,3.09
2019-01-02 02,0.002,0.6,0.027,0.005,18,14,-1.6,0,3.7,320,640.1792,0.89,0.33,15.89,0.61,5.46,2.9
2019-01-02 03,0.002,0.6,0.028,0.004,16,12,-2.5,0,2,320,597.18774,0.84,0.16,12.83,0.63,4.69,2.54
2019-01-02 04,0.002,0.6,0.027,0.004,12,12,-3,0,1.6,340,559.3147,0.63,0.18,12.89,0.31,4.86,2.14
2019-01-02 05,0.002,0.6,0.028,0.004,12,11,-2.7,0,3.3,320,530.834,0.95,0.21,11.81,0.59,3.78,2.01
2019-01-02 06,0.002,0.6,0.028,0.004,10,7,-2.7,0,3.2,320,513.03735,0.47,0.1,10.78,0.36,3.27,1.67
2019-01-02 07,0.002,0.6,0.027,0.004,8,7,-2.7,0,1.4,250,434.68823,0.63,0.16,11.94,0.35,3.72,1.65
2019-01-02 08,0.002,0.6,0.026,0.006,8,7,-2.6,0,2,360,449.7998,0.79,0.17,12.35,1.01,4.45,2.02
2019-01-02 09,0.002,0.6,0.024,0.008,7,6,-1.1,0,1.5,20,491.52563,0.76,0.14,15.96,1.54,5.13,6.87
2019-01-02 10,0.002,0.6,0.027,0.007,10,6,0.7,0,2.5,320,527.4475,0.7,0.21,24.02,2.61,6.45,6.9
2019-01-02 11,0.002,0.6,0.029,0.005,12,7,1.7,0,4.3,290,556.0054,0.94,0.21,16.38,2.92,7.28,3.79
2019-01-02 12,0.002,0.6,0.03,0.005,12,7,3,0,3.8,320,595.8208,0.56,0.17,17.07,2.31,6.05,2.8
2019-01-02 13,0.002,0.7,0.03,0.005,12,8,3.9,0,4.8,320,644.22876,0.85,0.32,19.73,1.71,6.05,3.01
2019-01-02 14,0.002,0.7,0.03,0.005,12,8,4.9,0,3.2,320,685.8782,0.65,0.24,19.5,1.94,4.75,2.9
2019-01-02 15,0.002,0.6,0.031,0.005,10,7,5.2,0,3.6,320,702.3782,1.24,0.33,19.1,1.4,4.96,2.97
2019-01-02 16,0.002,0.6,0.031,0.005,9,5,4.6,0,3.9,340,683.13135,1.19,0.31,19.7,1.36,4.52,2.92
2019-01-02 17,0.002,0.7,0.03,0.006,12,8,3.6,0,2.5,320,622.95435,1.18,0.42,18.74,1.13,5.52,3.24
2019-01-02 18,0.002,0.7,0.027,0.008,11,7,2.6,0,2.9,340,554.0708,0.94,0.37,20.01,1.03,5.06,3.66
2019-01-02 19,0.002,0.6,0.026,0.008,12,6,2.2,0,3.7,320,435.63623,0.86,0.18,22.09,1.08,5.35,3.6
2019-01-02 20,0.002,0.7,0.027,0.007,13,8,1.3,0,2.3,290,433.25537,0.89,0.32,47.07,0.99,6.01,4.1
2019-01-02 21,0.002,0.7,0.025,0.007,10,10,0,0,0.6,20,472.62744,0.54,0.22,120.51,1,9.6,4.72
2019-01-02 22,0.002,0.7,0.026,0.006,14,10,-0.1,0,1.7,320,450.77686,1.26,0.41,39.16,1.23,7.51,5.56
2019-01-02 23,0.002,0.7,0.026,0.007,16,11,0.3,0,2.5,290,417.8921,1.48,0.35,28.84,1.36,8.55,6.02
2019-01-03 00,0.002,0.7,0.019,0.011,14,15,-0.9,0,1.7,340,403.53003,0.85,0.47,31.86,1.22,10.88,6.77
2019-01-03 01,0.002,0.7,0.024,0.007,18,17,-0.7,0,1.7,320,413.49707,1.77,0.77,35.88,1.45,12.99,8.44
2019-01-03 02,0.002,0.7,0.023,0.007,17,18,-1.4,0,1.7,340,403.88696,1.74,0.68,40.15,1.59,13.35,9.36
