Date,Thực tế,Dự đoán theo LSTM,Dự đoán theo GRU,Dự đoán theo BiLSTM
2020-01-03 08:00:00,15.0,14.328805,15.460039,13.65211
2020-01-03 10:00:00,25.0,23.722237,24.18778,22.861341
2020-01-03 12:00:00,17.0,17.18929,17.49028,16.119366
2020-01-03 14:00:00,14.0,13.745989,14.511071,12.791958
2020-01-03 16:00:00,13.0,12.714062,13.439422,11.6820345
2020-01-03 18:00:00,12.0,11.217737,12.732952,10.626978
2020-01-03 20:00:00,29.0,26.331736,28.326473,26.096895
2020-01-03 22:00:00,22.0,20.311058,22.26982,20.255226
2020-01-04 00:00:00,17.0,15.807578,16.954979,14.728878
2020-01-04 02:00:00,14.0,12.768927,14.28869,12.012677
2020-01-04 04:00:00,12.0,9.670531,12.554132,10.394651
2020-01-04 06:00:00,11.0,9.293212,11.639174,9.316646
2020-01-04 08:00:00,10.0,8.964502,11.135761,8.979614
2020-01-04 10:00:00,10.0,9.668902,11.437556,9.099607
2020-01-04 12:00:00,16.0,14.058502,16.641993,14.8531065
2020-01-04 14:00:00,15.0,13.696494,16.194601,13.638104
2020-01-04 16:00:00,14.0,13.004257,14.98922,12.167714
2020-01-04 18:00:00,12.0,11.02245,13.287859,10.564008
2020-01-04 20:00:00,11.0,10.193742,12.373846,9.2874975
2020-01-04 22:00:00,13.0,11.757042,14.02056,11.50507
2020-01-05 00:00:00,17.0,16.072203,17.840605,15.562125
2020-01-05 02:00:00,18.0,15.9929905,18.62126,15.537689
2020-01-05 04:00:00,21.0,17.92005,21.25027,17.926697
2020-01-05 06:00:00,21.0,18.489769,21.476484,17.87733
2020-01-05 08:00:00,19.0,16.592697,19.446484,15.705389
2020-01-06 10:00:00,7.999999999999999,7.3643513,8.465199,7.491341
2020-01-06 12:00:00,13.0,11.533068,13.505671,10.725181
2020-01-06 14:00:00,113.0,112.3755,113.41881,109.14441
2020-01-06 22:00:00,111.0,108.540764,108.48603,107.631454
2020-01-07 00:00:00,54.0,56.714478,51.01681,50.0407
2020-01-07 02:00:00,33.0,39.19938,29.432861,30.397884
2020-01-07 06:00:00,4.0,7.3252397,0.34682485,2.6925719
2020-01-07 10:00:00,28.0,28.77734,23.35378,23.750362
2020-01-07 12:00:00,60.0,61.933544,59.06406,55.100716
2020-01-07 20:00:00,7.999999999999999,10.314441,8.147182,5.776351
2020-01-07 22:00:00,1.0,4.563611,0.7848418,0.8693774
2020-01-08 00:00:00,1.0,5.148032,-1.7340868,2.2532742
2020-01-08 02:00:00,1.0,3.8192255,-0.45972422,1.548917
2020-01-08 04:00:00,2.0,4.271701,2.9644358,2.8627846
2020-01-08 06:00:00,2.3491821895994605,4.0237894,1.3581793,2.9140913
2020-01-08 08:00:00,2.9830631836993806,4.872798,3.313059,3.6432307
2020-01-08 10:00:00,1.0,4.0517445,1.2576582,3.7396395
2020-01-08 12:00:00,3.0,5.073266,2.1788552,4.4879723
2020-01-08 14:00:00,2.0,2.803425,0.03781626,2.6365092
2020-01-08 16:00:00,3.0,3.589558,3.443741,4.7202797
2020-01-08 18:00:00,5.0,5.530493,3.1514666,4.1113396
2020-01-08 20:00:00,6.0,7.4253535,3.6536334,6.7607393
2020-01-08 22:00:00,4.0,5.0664043,3.2438643,4.8685513
2020-01-09 00:00:00,10.0,10.463813,8.50618,9.379732
2020-01-09 02:00:00,5.0,4.1686897,5.309478,5.1138096
2020-01-09 04:00:00,2.0,0.76189256,1.8450158,2.704861
2020-01-09 06:00:00,5.0,3.6846163,4.5669336,4.6607924
2020-01-09 08:00:00,7.0,5.4061995,6.8229327,7.0034018
2020-01-09 10:00:00,17.0,15.722775,17.060429,17.016113
2020-01-09 12:00:00,24.0,23.990492,23.8174,23.20695
2020-01-09 14:00:00,7.999999999999999,8.148635,9.012514,8.85426
2020-01-09 16:00:00,7.0,6.4530964,7.1103086,7.3880405
2020-01-09 18:00:00,9.0,8.381137,9.061239,9.359807
2020-01-09 20:00:00,31.0,29.16182,30.560509,30.105154
2020-01-09 22:00:00,26.0,25.87661,25.998526,25.147781
2020-01-10 00:00:00,15.0,15.8116045,14.747716,14.519389
2020-01-10 02:00:00,12.0,12.249133,11.703745,11.507651
2020-01-10 04:00:00,11.0,10.662341,10.9932375,10.215443
2020-01-10 06:00:00,11.0,10.32506,11.456099,10.150302
2020-01-10 08:00:00,11.0,10.754299,11.643922,9.950224
2020-01-10 10:00:00,50.0,48.260757,49.09689,47.039455
2020-01-10 12:00:00,66.0,65.513824,66.13632,63.494553
2020-01-10 14:00:00,19.0,18.444765,18.341955,16.577944
2020-01-10 16:00:00,24.0,23.000803,24.35704,21.133123
2020-01-10 18:00:00,47.0,45.189144,48.048775,43.19995
2020-01-10 20:00:00,43.0,42.93901,42.94491,41.465824
2020-01-10 22:00:00,61.0,60.686687,59.68255,57.94704
2020-01-11 00:00:00,27.0,27.724413,25.171862,24.409893
2020-01-11 02:00:00,15.0,16.155468,13.931015,13.163408
2020-01-11 04:00:00,13.0,13.72863,11.958885,10.534279
2020-01-11 06:00:00,11.0,9.204223,10.874738,8.691327
2020-01-11 08:00:00,12.0,10.0196295,13.306875,9.678277
2020-01-11 10:00:00,24.0,23.285212,24.584606,23.07605
2020-01-11 12:00:00,16.0,15.56228,15.999339,14.7791395
2020-01-11 14:00:00,17.0,16.313667,16.243101,14.796744
2020-01-11 16:00:00,29.0,28.647755,28.991095,26.464783
2020-01-11 18:00:00,31.0,29.25542,30.366074,26.596722
2020-01-11 20:00:00,21.0,18.465237,21.485165,18.42767
2020-01-11 22:00:00,17.0,15.5383,17.174004,13.90045
2020-01-12 00:00:00,20.0,19.608995,18.880438,18.092587
2020-01-12 02:00:00,18.0,16.104403,17.033379,15.508131
2020-01-12 04:00:00,18.0,16.76623,18.885233,16.494772
2020-01-12 06:00:00,16.0,14.739566,16.934364,12.744532
2020-01-12 08:00:00,14.0,10.806566,14.833634,11.491591
2020-01-12 10:00:00,15.0,13.125756,15.673573,13.5549
2020-01-12 12:00:00,7.999999999999999,7.898261,8.283261,7.4794335
2020-01-12 14:00:00,5.0,4.3362627,4.6268187,4.07302
2020-01-12 16:00:00,3.0,2.963487,3.009868,2.474499
2020-01-12 18:00:00,4.0,3.2565138,4.016144,2.9628088
2020-01-12 20:00:00,4.0,2.4768603,3.8468344,2.9123871
2020-01-12 22:00:00,4.0,3.4306633,4.768695,3.2909567
2020-01-13 00:00:00,3.0,2.8965476,3.6302092,3.2133143
2020-01-13 02:00:00,3.0,2.733825,3.7860224,3.3109963
2020-01-13 04:00:00,3.0,2.6447031,3.7735598,3.5691988
2020-01-13 06:00:00,2.0,1.6660101,2.5601523,2.7999747
2020-01-13 08:00:00,2.0,0.77896047,3.1535199,2.4684107
2020-01-13 10:00:00,3.0,2.101662,4.0589848,3.2568953
2020-01-13 12:00:00,3.0,2.5613558,3.8193944,3.887976
2020-01-13 14:00:00,4.0,2.86006,4.7431984,4.326144
2020-01-13 16:00:00,4.0,2.7858527,4.8144417,4.402502
2020-01-13 18:00:00,4.0,2.4597332,5.2124567,4.168481
2020-01-13 20:00:00,5.0,3.543728,5.8012247,4.6560383
2020-01-13 22:00:00,10.0,8.004491,10.59088,9.504908
2020-01-14 00:00:00,7.999999999999999,6.6116853,9.151855,7.677209
2020-01-14 02:00:00,6.0,4.979887,6.7219315,6.0380125
2020-01-14 04:00:00,2.0,1.4467785,2.827451,3.1414912
2020-01-14 06:00:00,4.0,2.8556225,4.858328,4.728589
2020-01-14 08:00:00,6.0,4.429593,6.9142036,6.5024085
2020-01-14 10:00:00,23.0,20.194525,23.30757,22.10143
2020-01-14 12:00:00,25.0,23.216475,25.856668,24.489002
2020-01-14 14:00:00,39.0,36.939262,39.931576,37.985054
2020-01-14 16:00:00,9.0,8.468675,9.586014,8.772734
2020-01-14 18:00:00,7.999999999999999,7.4108152,8.572628,8.100593
2020-01-14 20:00:00,11.0,9.875674,10.457481,10.05382
2020-01-14 22:00:00,10.0,8.931398,10.936289,9.840794
2020-01-15 00:00:00,15.0,13.829492,15.321661,14.53109
2020-01-15 02:00:00,13.0,12.692583,13.684144,12.0936985
2020-01-15 04:00:00,10.0,9.105312,10.748745,10.32214
2020-01-15 06:00:00,15.0,14.091527,15.047891,14.243244
2020-01-15 08:00:00,17.0,16.672007,16.689833,15.832896
2020-01-15 10:00:00,29.0,28.943306,28.408125,26.855148
2020-01-15 12:00:00,14.0,13.792225,14.004988,13.296802
2020-01-15 18:00:00,6.0,6.4696803,6.465575,6.329773
2020-01-15 20:00:00,7.0,6.7793226,6.9253016,6.490864
2020-01-15 22:00:00,22.0,20.986824,21.21645,20.35471
2020-01-16 00:00:00,17.0,16.374678,17.18483,16.65427
2020-01-16 02:00:00,16.0,14.87106,15.887316,14.995665
2020-01-16 04:00:00,16.0,14.804551,15.56544,14.945453
2020-01-16 06:00:00,14.0,13.034914,13.982606,12.696798
2020-01-16 08:00:00,13.0,11.735118,13.223406,11.5453005
2020-01-16 10:00:00,36.0,34.002953,36.21,33.72675
2020-01-16 12:00:00,49.0,48.130142,50.020786,47.118816
2020-01-16 14:00:00,36.0,34.38988,36.619465,32.02117
2020-01-16 16:00:00,36.0,35.021137,35.891266,33.603275
2020-01-16 18:00:00,44.0,44.6924,42.88944,41.319088
2020-01-16 20:00:00,60.0,61.13975,59.87366,57.038673
2020-01-16 22:00:00,35.0,35.484554,34.379036,31.536896
2020-01-17 00:00:00,16.0,16.58867,15.397583,13.2932005
2020-01-17 02:00:00,12.0,12.064852,11.167721,8.223043
2020-01-17 04:00:00,11.0,9.482576,10.83599,9.03469
2020-01-17 06:00:00,10.0,7.9392095,10.681848,7.1569786
2020-01-17 08:00:00,11.0,10.053576,12.285399,8.778129
2020-01-17 10:00:00,37.0,37.32673,37.721737,33.05233
2020-01-17 12:00:00,76.0,76.37446,75.48915,73.33079
2020-01-17 14:00:00,47.0,48.04806,44.812695,43.84259
2020-01-17 16:00:00,35.0,37.098545,33.7835,31.361427
2020-01-17 18:00:00,12.0,15.063404,9.621843,9.683438
2020-01-17 20:00:00,24.0,24.872253,22.164997,20.613384
2020-01-17 22:00:00,51.0,50.905716,47.248947,45.85573
2020-01-18 00:00:00,23.0,25.621735,23.334503,21.244102
2020-01-18 02:00:00,12.0,12.609831,11.455765,9.751557
2020-01-18 04:00:00,7.999999999999999,8.384938,8.153147,7.8524194
2020-01-18 06:00:00,11.0,11.215467,10.293918,9.318636
2020-01-18 08:00:00,14.0,13.319226,14.143299,12.01983
2020-01-18 10:00:00,39.0,38.628586,38.462265,37.02174
2020-01-18 12:00:00,46.0,45.877045,44.496662,42.805317
2020-01-18 14:00:00,31.0,31.84606,30.2163,27.524288
2020-01-18 16:00:00,25.0,26.79485,24.804317,22.69546
2020-01-18 18:00:00,17.0,18.351572,15.868784,14.583883
2020-01-18 20:00:00,19.0,19.519007,19.012054,16.971884
2020-01-18 22:00:00,20.0,21.25342,19.35577,17.618383
2020-01-19 00:00:00,17.0,19.370804,16.992079,15.648563
2020-01-19 02:00:00,12.0,12.810655,12.326845,11.554665
2020-01-19 04:00:00,10.0,10.327883,10.421849,8.610862
2020-01-19 06:00:00,10.0,10.770181,9.11682,8.409472
2020-01-19 08:00:00,7.999999999999999,7.263991,8.448698,6.6256413
2020-01-19 10:00:00,10.0,8.764651,10.981096,9.567232
2020-01-19 12:00:00,17.0,14.965495,16.326792,15.436045
2020-01-19 14:00:00,13.0,13.005087,13.074959,13.271174
2020-01-19 16:00:00,12.0,12.177165,11.746884,10.977874
2020-01-19 18:00:00,12.0,11.621551,12.036146,10.401836
2020-01-19 20:00:00,12.0,10.508137,12.446747,10.018058
2020-01-19 22:00:00,13.0,11.667155,13.021776,10.934011
2020-01-20 00:00:00,13.0,12.476415,12.695761,11.907771
2020-01-20 02:00:00,12.0,11.155893,12.449875,10.803813
2020-01-20 04:00:00,13.0,11.490839,13.702535,10.989158
2020-01-20 06:00:00,13.0,12.39938,12.972539,11.532031
2020-01-20 08:00:00,12.0,11.129801,12.652616,10.263361
2020-01-20 10:00:00,12.0,10.947599,12.894247,10.6148405
2020-01-20 12:00:00,11.0,10.335328,12.166064,9.685865
2020-01-20 14:00:00,10.0,8.972662,10.850573,8.916605
2020-01-20 16:00:00,9.0,8.463362,10.209866,8.073294
2020-01-20 18:00:00,9.0,8.083388,10.314023,8.124308
2020-01-20 20:00:00,11.0,9.559414,11.750786,9.153819
2020-01-20 22:00:00,9.0,8.66939,9.8594,7.9475317
2020-01-21 00:00:00,7.0,7.635191,8.14679,6.767265
2020-01-21 02:00:00,7.0,6.944817,7.448299,6.684785
2020-01-21 04:00:00,7.0,7.1410995,7.4728727,6.887651
2020-01-21 06:00:00,7.0,7.013559,7.759653,6.6585965
2020-01-21 08:00:00,7.999999999999999,8.050678,9.112278,7.675011
2020-01-21 10:00:00,33.0,30.462603,32.37051,30.203083
2020-01-21 12:00:00,45.0,43.8455,44.59315,43.696064
2020-01-21 14:00:00,15.0,15.405113,14.992379,13.816871
2020-01-21 16:00:00,14.0,14.659394,14.211251,12.8450985
2020-01-21 18:00:00,9.0,9.197387,8.435091,7.472885
2020-01-21 20:00:00,27.0,26.194147,26.181255,25.08648
2020-01-21 22:00:00,32.0,31.139553,31.454128,29.948696
2020-01-22 00:00:00,32.0,31.358427,32.594948,29.712458
2020-01-22 02:00:00,21.0,20.886,21.268782,18.676857
2020-01-22 04:00:00,26.0,25.622522,26.035738,23.135157
2020-01-22 06:00:00,21.0,20.303186,21.114813,18.43817
2020-01-22 08:00:00,20.0,19.232836,20.006544,17.891958
2020-01-22 10:00:00,19.0,18.632381,19.350273,16.567686
2020-01-22 12:00:00,46.0,44.28601,46.491028,42.475185
2020-01-22 14:00:00,121.00000000000001,119.83221,120.89906,117.2408
2020-01-22 16:00:00,97.0,99.62887,94.35016,92.608215
2020-01-22 22:00:00,81.0,88.53414,79.04466,76.96401
2020-01-23 00:00:00,34.0,42.566193,29.850082,31.181944
2020-01-23 06:00:00,9.0,14.581992,4.854254,7.5217233
2020-01-23 08:00:00,7.0,11.154784,2.5099957,5.6479845
2020-01-23 10:00:00,10.0,12.251836,8.496136,7.1443567
2020-01-23 12:00:00,49.0,50.961086,46.37949,45.290356
2020-01-23 14:00:00,34.0,38.53469,32.281162,32.09332
2020-01-23 16:00:00,28.0,28.60352,25.455294,23.814249
2020-01-23 18:00:00,20.0,22.966562,18.780682,17.710318
2020-01-23 20:00:00,17.0,18.803381,15.025674,14.12442
2020-01-23 22:00:00,17.0,18.731218,14.27557,13.76062
2020-01-24 00:00:00,19.0,18.955547,15.784858,16.282827
2020-01-24 02:00:00,13.0,14.361198,11.144261,13.389823
2020-01-24 04:00:00,12.0,13.636975,9.826797,10.726543
2020-01-24 06:00:00,12.0,13.151981,9.301398,10.556182
2020-01-24 08:00:00,13.0,15.222825,12.158104,12.369634
2020-01-24 10:00:00,12.0,14.661083,11.0236025,11.411766
2020-01-24 12:00:00,14.0,15.760352,13.622138,13.57854
2020-01-24 14:00:00,17.0,17.50079,15.031935,15.946915
2020-01-24 16:00:00,9.0,11.218379,7.7447658,7.8818274
2020-01-24 18:00:00,6.0,6.5395546,5.0839424,4.9429846
2020-01-24 20:00:00,4.0,2.6619503,3.0360196,2.8735793
2020-01-24 22:00:00,4.0,3.3411381,3.368666,3.6146128
2020-01-25 00:00:00,3.0,3.5163262,2.7207558,3.0129426
