Date,Thực tế,Dự đoán theo LSTM,Dự đoán theo GRU,Dự đoán theo BiLSTM,Dự đoán theo Transformers,Dự đoán theo mô hình ConvLSTM
2020-01-03 10:00:00,1.0,1.0029023,1.0803331,1.0493084,1.0254881,0.88953394
2020-01-03 12:00:00,1.0,1.0112863,1.0961761,1.0364182,1.0255126,0.9318185
2020-01-03 14:00:00,1.0,1.0031954,1.1230351,1.0452052,1.0253391,0.95832855
2020-01-03 16:00:00,1.0,0.9906654,1.1150266,1.0571561,1.0252141,0.9428776
2020-01-03 18:00:00,1.0,0.9732516,1.1210955,1.0726314,1.025081,0.94598186
2020-01-03 20:00:00,1.0,0.9450029,1.1117138,1.1127733,1.0249189,0.9085137
2020-01-03 22:00:00,1.0,0.9165706,1.1256725,1.117588,1.0250267,0.89488965
2020-01-04 00:00:00,1.0,0.91695553,1.1533511,1.1310867,1.0249693,0.89088655
2020-01-04 02:00:00,1.0,0.91409653,1.1217719,1.1136917,1.0250655,0.8745609
2020-01-04 04:00:00,1.0,0.9007773,1.1443262,1.1309007,1.0252578,0.8951349
2020-01-04 06:00:00,1.0,0.93610567,1.15317,1.0998782,1.0251641,0.9493585
2020-01-04 08:00:00,1.08838371729986,1.0079539,1.2171487,1.2009125,1.0257707,1.0383103
2020-01-04 10:00:00,1.0,0.9444827,1.1520475,1.1187602,1.0249273,0.96616644
2020-01-04 12:00:00,1.08307538996871,1.0670757,1.2261553,1.1159873,1.0264091,1.0804071
2020-01-04 14:00:00,1.0,0.979863,1.1514766,1.0738816,1.0251296,0.97561175
2020-01-04 16:00:00,1.0,0.9619316,1.1402524,1.0834398,1.0250627,0.9523567
2020-01-04 18:00:00,1.0,0.9490995,1.1472604,1.1068702,1.0251284,0.96998227
2020-01-04 20:00:00,1.0,0.9612349,1.1457753,1.0782534,1.0249715,0.9626389
2020-01-04 22:00:00,1.18723451043154,1.1250845,1.2842536,1.2447255,1.029844,1.1273346
2020-01-05 00:00:00,1.0,0.9228549,1.1213288,1.1527783,1.0248021,0.9167072
2020-01-05 02:00:00,1.0,0.9270672,1.0962582,1.0995606,1.0250156,0.8307896
2020-01-05 04:00:00,1.0,0.9344102,1.0990679,1.0926684,1.0250403,0.8172218
2020-01-05 06:00:00,1.0,0.92784876,1.0962553,1.0904372,1.0250361,0.8110452
2020-01-05 08:00:00,1.0,0.93767285,1.0971841,1.0880915,1.0250385,0.82951766
2020-01-06 10:00:00,1.0,0.9198011,1.1661936,1.1535807,1.0248101,0.81550586
2020-01-06 12:00:00,13.0,12.843162,13.361463,13.00266,13.529493,14.006888
2020-01-06 14:00:00,2.0,1.852425,2.251271,2.1995835,1.8807653,1.726526
2020-01-06 22:00:00,2.0,1.7464522,2.2394502,2.1259668,1.4310418,1.8311331
2020-01-07 00:00:00,2.0,1.9904653,2.330925,1.9425288,1.1669539,1.9559071
2020-01-07 02:00:00,2.0,1.5034678,1.9956336,2.0158384,1.756303,1.8227731
2020-01-07 06:00:00,1.30274151008272,1.4358813,1.5633352,1.3735013,1.0432671,1.4695768
2020-01-07 10:00:00,1.0,0.79127526,1.0274874,1.0072074,1.0316916,0.93582565
2020-01-07 12:00:00,1.0,1.2782743,1.0902401,1.0564221,1.03148,1.1368799
2020-01-07 20:00:00,1.0,0.7818173,1.4221098,0.9940871,1.025362,1.1919177
2020-01-07 22:00:00,4.26822641527454,4.450601,4.386065,4.1478214,4.839067,4.4587045
2020-01-08 00:00:00,1.23460712038319,1.2799968,1.2889571,1.2167853,1.0537307,1.3638095
2020-01-08 02:00:00,1.47160283143036,1.4246897,1.6735518,1.4370893,1.0300574,1.5412251
2020-01-08 04:00:00,1.0,0.99582356,1.3653233,1.0142096,1.0244665,1.0095173
2020-01-08 06:00:00,1.21629889861234,1.2898055,1.343712,1.2668064,1.0296886,1.2258893
2020-01-08 08:00:00,1.28969249266844,1.4958696,1.3078696,1.3349911,1.0252012,1.8210595
2020-01-08 10:00:00,1.08541020378435,1.0070612,1.0547214,1.1053427,1.0274748,0.9123408
2020-01-08 12:00:00,1.14900774448013,1.0889482,1.6061267,1.2163539,1.0392213,1.129389
2020-01-08 14:00:00,1.0,1.2993162,1.0260005,1.0178645,1.0604907,1.2583601
2020-01-08 16:00:00,1.0,0.9500067,0.9898956,1.0071719,1.0265328,1.019152
2020-01-08 18:00:00,1.0,1.3111912,1.0443918,1.065452,1.0400962,1.0299321
2020-01-08 20:00:00,1.0,0.9774369,1.199255,1.0761855,1.025768,1.2393671
2020-01-08 22:00:00,1.0,1.0460745,0.9487555,0.99450094,1.0246154,1.0941991
2020-01-09 00:00:00,1.0,1.0691499,1.1393163,0.9800081,1.0252266,1.064893
2020-01-09 02:00:00,1.0,0.8144039,1.0403087,0.9726023,1.0267624,1.1740986
2020-01-09 04:00:00,1.0,1.0313399,1.0505185,0.94596404,1.025277,1.0098461
2020-01-09 06:00:00,1.0,1.0674788,1.1890318,0.95320266,1.0251567,1.0213534
2020-01-09 08:00:00,1.08998066391968,1.2078475,1.1125479,1.0246528,1.026601,1.1056892
2020-01-09 10:00:00,1.0,0.9938095,0.98726493,0.9926593,1.0253592,0.93879807
