Date,Thực tế,Dự đoán theo LSTM,Dự đoán theo GRU,Dự đoán theo BiLSTM,Dự đoán theo mô hình ConvLSTM
2019-01-01 21:00:00,5.280000000000001,5.1280584,6.1555996,8.428492,4.9609632
2019-01-01 22:00:00,5.08,5.018243,5.585947,8.234169,4.747423
2019-01-01 23:00:00,4.59,4.4125414,4.7256575,8.289733,4.402726
2019-01-02 00:00:00,3.709999999999999,3.8377454,3.9031446,7.9845505,3.5450418
2019-01-02 01:00:00,3.09,3.2199628,3.281432,7.2707176,3.055909
2019-01-02 02:00:00,2.9000000000000004,2.9272306,2.9753854,6.4249897,3.1163538
2019-01-02 03:00:00,2.5399999999999974,2.4099128,2.9151857,6.4362745,2.796478
2019-01-02 04:00:00,2.1400000000000006,1.9460086,2.4792488,6.3497124,2.475415
2019-01-02 05:00:00,2.009999999999998,1.8704928,2.0237043,5.746498,2.39406
2019-01-02 06:00:00,1.6700000000000017,1.3577231,1.8270739,6.4896145,2.0459201
2019-01-02 07:00:00,1.6499999999999986,1.251705,2.3576753,7.3952665,2.1078413
2019-01-02 08:00:00,2.0199999999999996,1.7371176,2.313173,7.8834543,2.3620737
2019-01-02 09:00:00,6.870000000000001,6.1752205,5.9154005,10.65219,7.0230513
2019-01-02 10:00:00,6.9,6.6100674,6.434458,11.06529,7.026847
2019-01-02 11:00:00,3.7899999999999974,3.9994295,4.373679,9.17153,4.005355
2019-01-02 12:00:00,2.8000000000000025,2.8529851,3.0611923,8.712911,2.9982154
2019-01-02 13:00:00,3.01,2.9415348,2.7166812,8.838197,3.0796583
2019-01-02 14:00:00,2.9000000000000004,2.8099267,2.8124425,9.202078,2.9045055
2019-01-02 15:00:00,2.9700000000000006,3.0310237,2.6709163,8.898062,3.0153234
2019-01-02 16:00:00,2.92,3.0218866,2.6217725,9.069404,3.0417984
2019-01-02 17:00:00,3.24,3.2265794,3.1957757,9.959087,3.2729385
2019-01-02 18:00:00,3.660000000000002,3.6636732,3.4551837,10.520977,3.653814
2019-01-02 19:00:00,3.599999999999998,3.9075887,3.4050987,10.382115,3.7161672
2019-01-02 20:00:00,4.1,4.1003103,4.0992165,10.965658,4.093729
2019-01-02 21:00:00,4.719999999999999,4.5319395,4.7872086,11.640391,4.6151123
2019-01-02 22:00:00,5.559999999999997,5.361864,5.1693487,11.594076,5.455676
2019-01-02 23:00:00,6.02,5.954774,5.6773796,11.609207,5.8700447
2019-01-03 00:00:00,6.77,6.682721,6.5950413,12.641924,6.5730534
